Player,Versus,BasedOnMinutes,scouting_period
Emi Buendía,Att Mid / Wingers,2464,2019-2020 Premier League
Emi Buendía,Att Mid / Wingers,2841,2018-2019 Championship
Emi Buendía,Att Mid / Wingers,3158,2017-2018 Segunda División
Emi Buendía,Att Mid / Wingers,3316,2020-2021 Championship
Emile Smith Rowe,Att Mid / Wingers,233,2019-2020 Europa League
Emile Smith Rowe,Att Mid / Wingers,265,2018-2019 Europa League
Emile Smith Rowe,Att Mid / Wingers,679,2020-2021 Europa League
Emile Smith Rowe,Att Mid / Wingers,1176,2019-2020 Championship
Emile Smith Rowe,Att Mid / Wingers,1203,2024-2025 Premier League
Emile Smith Rowe,Att Mid / Wingers,1435,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Emile Smith Rowe,Att Mid / Wingers,1440,2020-2021 Premier League
Emile Smith Rowe,Att Mid / Wingers,1921,2021-2022 Premier League
Enes Ünal,Forwards,292,2017-2018 Europa League
Enes Ünal,Forwards,791,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Enes Ünal,Forwards,1318,2020-2021 La Liga
Enes Ünal,Forwards,1723,2017-2018 La Liga
Enes Ünal,Forwards,2148,2018-2019 La Liga
Enes Ünal,Forwards,2344,2019-2020 La Liga
Enes Ünal,Forwards,2798,2021-2022 La Liga
Enes Ünal,Forwards,2970,2022-2023 La Liga
Erling Haaland,Forwards,203,2021-2022 Champions League
Erling Haaland,Forwards,499,2024-2025 Champions League
Erling Haaland,Forwards,553,2019-2020 Champions League
Erling Haaland,Forwards,703,2020-2021 Champions League
Erling Haaland,Forwards,776,2023-2024 Champions League
Erling Haaland,Forwards,841,2022-2023 Champions League
Erling Haaland,Forwards,1063,2019-2020 Bundesliga
Erling Haaland,Forwards,1882,2024-2025 Premier League
Erling Haaland,Forwards,1911,2021-2022 Bundesliga
Erling Haaland,Forwards,2407,2020-2021 Bundesliga
Erling Haaland,Forwards,2552,2023-2024 Premier League
Erling Haaland,Forwards,2769,2022-2023 Premier League
Erling Haaland,Forwards,3997,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Evanilson,Forwards,310,2021-2022 Champions League
Evanilson,Forwards,455,2020-2021 Primeira Liga
Evanilson,Forwards,486,2020 Série A
Evanilson,Forwards,488,2023-2024 Champions League
Evanilson,Forwards,513,2022-2023 Champions League
Evanilson,Forwards,1274,Last 365 Days Men's Next 14 Competitions
Evanilson,Forwards,1354,2022-2023 Primeira Liga
Evanilson,Forwards,1370,2024-2025 Premier League
Evanilson,Forwards,1541,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Evanilson,Forwards,2025,2021-2022 Primeira Liga
Evanilson,Forwards,2051,2023-2024 Primeira Liga
Fabio Carvalho,Att Mid / Wingers,2831,2021-2022 Championship
Fabio Carvalho,Forwards,1627,Last 365 Days Men's Next 14 Competitions
Fabio Carvalho,Forwards,1717,2023-2024 Championship
Facundo Buonanotte,Att Mid / Wingers,217,2023-2024 Europa League
Facundo Buonanotte,Att Mid / Wingers,565,2022-2023 Premier League
Facundo Buonanotte,Att Mid / Wingers,1132,2024-2025 Premier League
Facundo Buonanotte,Att Mid / Wingers,1364,2023-2024 Premier League
Facundo Buonanotte,Att Mid / Wingers,2104,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Federico Chiesa,Att Mid / Wingers,263,2024 UEFA Euro 2024
Federico Chiesa,Att Mid / Wingers,334,2021-2022 Champions League
Federico Chiesa,Att Mid / Wingers,404,2022-2023 Europa League
Federico Chiesa,Att Mid / Wingers,439,2021 UEFA Euro 2020
Federico Chiesa,Att Mid / Wingers,3012,2017-2018 Serie A
Federico Chiesa,Att Mid / Wingers,3034,2018-2019 Serie A
Federico Chiesa,Forwards,1095,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Federico Chiesa,Forwards,2197,2023-2024 Serie A
Federico Chiesa,Forwards,2637,2019-2020 Serie A
Gabriel Jesus,Att Mid / Wingers,429,2019 Copa América
Gabriel Jesus,Att Mid / Wingers,1877,2021-2022 Premier League
Gabriel Jesus,Forwards,254,2022-2023 Europa League
Gabriel Jesus,Forwards,258,2024-2025 Champions League
Gabriel Jesus,Forwards,270,2020-2021 Champions League
Gabriel Jesus,Forwards,355,2021-2022 Champions League
Gabriel Jesus,Forwards,375,2018-2019 Champions League
Gabriel Jesus,Forwards,404,2018 World Cup
Gabriel Jesus,Forwards,406,2023-2024 Champions League
Gabriel Jesus,Forwards,589,2019-2020 Champions League
Gabriel Jesus,Forwards,608,2024-2025 Premier League
Gabriel Jesus,Forwards,617,2017-2018 Champions League
Gabriel Jesus,Forwards,1036,2018-2019 Premier League
Gabriel Jesus,Forwards,1478,2023-2024 Premier League
Gabriel Jesus,Forwards,1493,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Gabriel Jesus,Forwards,1668,2017-2018 Premier League
Gabriel Jesus,Forwards,2030,2019-2020 Premier League
Gabriel Jesus,Forwards,2063,2020-2021 Premier League
Gabriel Jesus,Forwards,2064,2022-2023 Premier League
Gabriel Martinelli,Att Mid / Wingers,424,2019-2020 Europa League
Gabriel Martinelli,Att Mid / Wingers,481,2023-2024 Champions League
Gabriel Martinelli,Att Mid / Wingers,494,2022-2023 Europa League
Gabriel Martinelli,Att Mid / Wingers,589,2020-2021 Premier League
Gabriel Martinelli,Att Mid / Wingers,663,2019-2020 Premier League
Gabriel Martinelli,Att Mid / Wingers,1201,2024-2025 Premier League
Gabriel Martinelli,Att Mid / Wingers,1860,2021-2022 Premier League
Gabriel Martinelli,Att Mid / Wingers,2019,2023-2024 Premier League
Gabriel Martinelli,Att Mid / Wingers,2649,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Gabriel Martinelli,Att Mid / Wingers,2789,2022-2023 Premier League
George Hirst,Forwards,686,2020-2021 Championship
George Hirst,Forwards,1762,2023-2024 Championship
Georginio Rutter,Att Mid / Wingers,1110,2024-2025 Premier League
Georginio Rutter,Att Mid / Wingers,1110,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Georginio Rutter,Att Mid / Wingers,1668,Last 365 Days Men's Next 14 Competitions
Georginio Rutter,Forwards,1009,2022-2023 Bundesliga
Georginio Rutter,Forwards,1611,2021-2022 Bundesliga
Georginio Rutter,Forwards,3736,2023-2024 Championship
Gonçalo Guedes,Att Mid / Wingers,180,2023-2024 Europa League
Gonçalo Guedes,Att Mid / Wingers,602,2024-2025 Premier League
Gonçalo Guedes,Att Mid / Wingers,707,2022-2023 Premier League
Gonçalo Guedes,Forwards,198,2019-2020 Champions League
Gonçalo Guedes,Forwards,243,2018 World Cup
Gonçalo Guedes,Forwards,951,2023-2024 La Liga
Gonçalo Guedes,Forwards,1733,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Gonçalo Guedes,Forwards,2606,2021-2022 La Liga
Harrison Reed,Att Mid / Wingers,2404,2018-2019 Championship
Harry Wilson,Att Mid / Wingers,698,2024-2025 Premier League
Harry Wilson,Att Mid / Wingers,1100,2022-2023 Premier League
Harry Wilson,Att Mid / Wingers,1213,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Harry Wilson,Att Mid / Wingers,1620,2023-2024 Premier League
Harry Wilson,Att Mid / Wingers,2811,2020-2021 Championship
Harry Wilson,Att Mid / Wingers,3171,2018-2019 Championship
Harry Wilson,Att Mid / Wingers,3476,2021-2022 Championship
Harvey Barnes,Att Mid / Wingers,275,2021-2022 Europa League
Harvey Barnes,Att Mid / Wingers,487,2020-2021 Europa League
Harvey Barnes,Att Mid / Wingers,519,2021-2022 Europa Conference League
Harvey Barnes,Att Mid / Wingers,782,2024-2025 Premier League
Harvey Barnes,Att Mid / Wingers,802,2023-2024 Premier League
Harvey Barnes,Att Mid / Wingers,1004,2018-2019 Premier League
Harvey Barnes,Att Mid / Wingers,1397,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Harvey Barnes,Att Mid / Wingers,1945,2020-2021 Premier League
Harvey Barnes,Att Mid / Wingers,2101,2021-2022 Premier League
Harvey Barnes,Att Mid / Wingers,2214,2018-2019 Championship
Harvey Barnes,Att Mid / Wingers,2711,2022-2023 Premier League
Harvey Elliott,Att Mid / Wingers,2753,2020-2021 Championship
Hwang Hee-chan,Att Mid / Wingers,203,2018 World Cup
Hwang Hee-chan,Att Mid / Wingers,549,2024-2025 Premier League
Hwang Hee-chan,Att Mid / Wingers,1816,2021-2022 Premier League
Hwang Hee-chan,Forwards,180,2019-2020 Europa League
Hwang Hee-chan,Forwards,460,2020-2021 Bundesliga
Hwang Hee-chan,Forwards,518,2017-2018 Europa League
Hwang Hee-chan,Forwards,540,2019-2020 Champions League
Hwang Hee-chan,Forwards,1130,2022-2023 Premier League
Hwang Hee-chan,Forwards,1220,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Hwang Hee-chan,Forwards,1306,2018-2019 2. Bundesliga
Hwang Hee-chan,Forwards,2119,2023-2024 Premier League
Idrissa Gana Gueye,Att Mid / Wingers,270,2022 World Cup
Iliman Ndiaye,Att Mid / Wingers,707,2023-2024 Europa League
Iliman Ndiaye,Att Mid / Wingers,1606,2024-2025 Premier League
Iliman Ndiaye,Att Mid / Wingers,1618,2023-2024 Ligue 1
Iliman Ndiaye,Att Mid / Wingers,1829,2021-2022 Championship
Iliman Ndiaye,Att Mid / Wingers,2677,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Iliman Ndiaye,Forwards,3698,2022-2023 Championship
Ismaila Sarr,Att Mid / Wingers,344,2022 World Cup
Ismaila Sarr,Att Mid / Wingers,437,2023-2024 Europa League
Ismaila Sarr,Att Mid / Wingers,1431,2024-2025 Premier League
Ismaila Sarr,Att Mid / Wingers,1447,2023-2024 Ligue 1
Ismaila Sarr,Att Mid / Wingers,1861,2021-2022 Premier League
Ismaila Sarr,Att Mid / Wingers,2028,2019-2020 Premier League
Ismaila Sarr,Att Mid / Wingers,2308,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Ismaila Sarr,Att Mid / Wingers,2788,2018-2019 Ligue 1
Ismaila Sarr,Att Mid / Wingers,3167,2022-2023 Championship
Ismaila Sarr,Att Mid / Wingers,3459,2020-2021 Championship
Ismaila Sarr,Forwards,1858,2017-2018 Ligue 1
Jack Clarke,Att Mid / Wingers,542,2024-2025 Premier League
Jack Clarke,Att Mid / Wingers,542,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Jack Clarke,Att Mid / Wingers,588,2020-2021 Championship
Jack Clarke,Att Mid / Wingers,1290,Last 365 Days Men's Next 14 Competitions
Jack Clarke,Att Mid / Wingers,3786,2022-2023 Championship
Jack Grealish,Att Mid / Wingers,279,2024-2025 Champions League
Jack Grealish,Att Mid / Wingers,460,2021-2022 Champions League
Jack Grealish,Att Mid / Wingers,530,2023-2024 Champions League
Jack Grealish,Att Mid / Wingers,580,2024-2025 Premier League
Jack Grealish,Att Mid / Wingers,933,2022-2023 Champions League
Jack Grealish,Att Mid / Wingers,1009,2023-2024 Premier League
Jack Grealish,Att Mid / Wingers,1360,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Jack Grealish,Att Mid / Wingers,1914,2021-2022 Premier League
Jack Grealish,Att Mid / Wingers,2055,2022-2023 Premier League
Jack Grealish,Att Mid / Wingers,2185,2020-2021 Premier League
Jack Grealish,Att Mid / Wingers,3233,2019-2020 Premier League
Jack Harrison,Att Mid / Wingers,997,2024-2025 Premier League
Jack Harrison,Att Mid / Wingers,2005,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Jack Harrison,Att Mid / Wingers,2639,2021-2022 Premier League
Jack Harrison,Att Mid / Wingers,2708,2022-2023 Premier League
Jacob Murphy,Att Mid / Wingers,725,2018-2019 Championship
Jacob Murphy,Att Mid / Wingers,1101,2024-2025 Premier League
Jacob Murphy,Att Mid / Wingers,1189,2023-2024 Premier League
Jacob Murphy,Att Mid / Wingers,1251,2022-2023 Premier League
Jacob Murphy,Att Mid / Wingers,1473,2021-2022 Premier League
Jacob Murphy,Att Mid / Wingers,2169,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Jacob Ramsey,Att Mid / Wingers,799,2024-2025 Premier League
Jacob Ramsey,Att Mid / Wingers,853,2023-2024 Premier League
Jacob Ramsey,Att Mid / Wingers,1337,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Jaden Philogene Bidace,Att Mid / Wingers,453,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Jaden Philogene Bidace,Att Mid / Wingers,541,2021-2022 Championship
Jaden Philogene Bidace,Att Mid / Wingers,2240,2022-2023 Championship
Jaden Philogene Bidace,Att Mid / Wingers,2806,2023-2024 Championship
Jadon Sancho,Att Mid / Wingers,387,2020-2021 Champions League
Jadon Sancho,Att Mid / Wingers,392,2021-2022 Champions League
Jadon Sancho,Att Mid / Wingers,436,2018-2019 Champions League
Jadon Sancho,Att Mid / Wingers,495,2022-2023 Europa League
Jadon Sancho,Att Mid / Wingers,558,2023-2024 Champions League
Jadon Sancho,Att Mid / Wingers,644,2019-2020 Champions League
Jadon Sancho,Att Mid / Wingers,688,2017-2018 Bundesliga
Jadon Sancho,Att Mid / Wingers,947,2023-2024 Bundesliga
Jadon Sancho,Att Mid / Wingers,961,2024-2025 Premier League
Jadon Sancho,Att Mid / Wingers,1686,2022-2023 Premier League
Jadon Sancho,Att Mid / Wingers,1900,2021-2022 Premier League
Jadon Sancho,Att Mid / Wingers,2062,2020-2021 Bundesliga
Jadon Sancho,Att Mid / Wingers,2287,2019-2020 Bundesliga
Jadon Sancho,Att Mid / Wingers,2430,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Jadon Sancho,Att Mid / Wingers,2461,2018-2019 Bundesliga
James Maddison,Att Mid / Wingers,278,2021-2022 Europa League
James Maddison,Att Mid / Wingers,344,2020-2021 Europa League
James Maddison,Att Mid / Wingers,2099,2020-2021 Premier League
James Maddison,Att Mid / Wingers,2135,2023-2024 Premier League
James Maddison,Att Mid / Wingers,2459,2021-2022 Premier League
James Maddison,Att Mid / Wingers,2480,2022-2023 Premier League
James Maddison,Att Mid / Wingers,2831,2018-2019 Premier League
James Ward-Prowse,Att Mid / Wingers,1716,2017-2018 Premier League
Jamie Vardy,Forwards,251,2020-2021 Europa League
Jamie Vardy,Forwards,879,Last 365 Days Men's Next 14 Competitions
Jamie Vardy,Forwards,1641,2024-2025 Premier League
Jamie Vardy,Forwards,1641,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Jamie Vardy,Forwards,1768,2023-2024 Championship
Jamie Vardy,Forwards,1806,2021-2022 Premier League
Jamie Vardy,Forwards,1857,2022-2023 Premier League
Jamie Vardy,Forwards,2726,2018-2019 Premier League
Jamie Vardy,Forwards,2840,2020-2021 Premier League
Jamie Vardy,Forwards,3033,2019-2020 Premier League
Jamie Vardy,Forwards,3247,2017-2018 Premier League
Jarrod Bowen,Att Mid / Wingers,590,2021-2022 Europa League
Jarrod Bowen,Att Mid / Wingers,742,2022-2023 Europa Conference League
Jarrod Bowen,Att Mid / Wingers,917,2019-2020 Premier League
Jarrod Bowen,Att Mid / Wingers,2562,2020-2021 Premier League
Jarrod Bowen,Att Mid / Wingers,2983,2021-2022 Premier League
Jarrod Bowen,Att Mid / Wingers,3019,2023-2024 Premier League
Jarrod Bowen,Att Mid / Wingers,3233,2022-2023 Premier League
Jarrod Bowen,Att Mid / Wingers,3233,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Jarrod Bowen,Forwards,549,2023-2024 Europa League
Jay Stansfield,Forwards,1552,Last 365 Days Men's Next 14 Competitions
Jay Stansfield,Forwards,3335,2023-2024 Championship
Jean-Philippe Mateta,Forwards,770,2022-2023 Premier League
Jean-Philippe Mateta,Forwards,997,2020-2021 Bundesliga
Jean-Philippe Mateta,Forwards,1053,2019-2020 Bundesliga
Jean-Philippe Mateta,Forwards,1145,2021-2022 Premier League
Jean-Philippe Mateta,Forwards,1682,2024-2025 Premier League
Jean-Philippe Mateta,Forwards,2282,2023-2024 Premier League
Jean-Philippe Mateta,Forwards,2483,2018-2019 Bundesliga
Jean-Philippe Mateta,Forwards,2633,2017-2018 Ligue 2
Jean-Philippe Mateta,Forwards,3157,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Jean-Ricner Bellegarde,Att Mid / Wingers,827,2024-2025 Premier League
Jean-Ricner Bellegarde,Att Mid / Wingers,958,2023-2024 Premier League
Jean-Ricner Bellegarde,Att Mid / Wingers,1265,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Jeffrey Schlupp,Att Mid / Wingers,1036,2019-2020 Premier League
Jeffrey Schlupp,Att Mid / Wingers,1352,2023-2024 Premier League
Jeremy Doku,Att Mid / Wingers,193,2024-2025 Champions League
Jeremy Doku,Att Mid / Wingers,304,2023-2024 Champions League
Jeremy Doku,Att Mid / Wingers,320,2024 UEFA Euro 2024
Jeremy Doku,Att Mid / Wingers,401,2020-2021 Champions League
Jeremy Doku,Att Mid / Wingers,605,2020-2021 Belgian First Division A
Jeremy Doku,Att Mid / Wingers,699,2024-2025 Premier League
Jeremy Doku,Att Mid / Wingers,1247,2019-2020 Belgian First Division A
Jeremy Doku,Att Mid / Wingers,1595,2023-2024 Premier League
Jeremy Doku,Att Mid / Wingers,1831,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Jesper Lindstrøm,Att Mid / Wingers,200,2022 World Cup
Jesper Lindstrøm,Att Mid / Wingers,508,2022-2023 Champions League
Jesper Lindstrøm,Att Mid / Wingers,585,2021-2022 Europa League
Jesper Lindstrøm,Att Mid / Wingers,669,2024-2025 Premier League
Jesper Lindstrøm,Att Mid / Wingers,926,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Jesper Lindstrøm,Att Mid / Wingers,1679,2022-2023 Bundesliga
Jesper Lindstrøm,Att Mid / Wingers,1976,2021-2022 Bundesliga
Jhon Durán,Forwards,207,2024-2025 Champions League
Jhon Durán,Forwards,448,2023-2024 Europa Conference League
Jhon Durán,Forwards,475,2023-2024 Premier League
Jhon Durán,Forwards,602,2024-2025 Premier League
Jhon Durán,Forwards,1099,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Jhon Durán,Forwards,1367,2022 Major League Soccer
Joe Aribo,Att Mid / Wingers,320,2019-2020 Europa League
Joe Aribo,Att Mid / Wingers,566,2020-2021 Europa League
Joe Aribo,Att Mid / Wingers,1105,2021-2022 Europa League
Joe Aribo,Att Mid / Wingers,1224,2022-2023 Premier League
Joe Willock,Att Mid / Wingers,194,2018-2019 Europa League
Joe Willock,Att Mid / Wingers,557,2019-2020 Europa League
Joe Willock,Att Mid / Wingers,857,2019-2020 Premier League
Joelinton,Forwards,391,2018-2019 Champions League
Joelinton,Forwards,1983,2020-2021 Premier League
Joelinton,Forwards,2130,2018-2019 Bundesliga
Joelinton,Forwards,2683,2019-2020 Premier League
John McGinn,Att Mid / Wingers,376,2024-2025 Champions League
John McGinn,Att Mid / Wingers,1254,2024-2025 Premier League
John McGinn,Att Mid / Wingers,2836,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
John McGinn,Forwards,230,2024 UEFA Euro 2024
Jordan Ayew,Att Mid / Wingers,1015,2024-2025 Premier League
Jordan Ayew,Att Mid / Wingers,2012,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Jordan Ayew,Att Mid / Wingers,2019,2021-2022 Premier League
Jordan Ayew,Att Mid / Wingers,2543,2023-2024 Premier League
Jordan Ayew,Att Mid / Wingers,2714,2022-2023 Premier League
Jordan Ayew,Forwards,1181,2018-2019 Premier League
Jordan Ayew,Forwards,2096,2020-2021 Premier League
Jordan Ayew,Forwards,2851,2017-2018 Premier League
Jordan Ayew,Forwards,3148,2019-2020 Premier League
Joshua Zirkzee,Forwards,216,2024-2025 Europa League
Joshua Zirkzee,Forwards,748,2024-2025 Premier League
Joshua Zirkzee,Forwards,822,2022-2023 Serie A
Joshua Zirkzee,Forwards,2077,2021-2022 Belgian First Division A
Joshua Zirkzee,Forwards,2134,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Joshua Zirkzee,Forwards,2759,2023-2024 Serie A
Jota Silva,Att Mid / Wingers,571,2024-2025 Premier League
Jota Silva,Att Mid / Wingers,571,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Jota Silva,Att Mid / Wingers,1336,Last 365 Days Men's Next 14 Competitions
Jota Silva,Att Mid / Wingers,1599,2022-2023 Primeira Liga
Jota Silva,Att Mid / Wingers,2778,2023-2024 Primeira Liga
João Félix,Att Mid / Wingers,331,2022 World Cup
João Félix,Att Mid / Wingers,369,2023-2024 Champions League
João Félix,Att Mid / Wingers,461,2022-2023 Champions League
João Félix,Att Mid / Wingers,941,2022-2023 Premier League
João Félix,Att Mid / Wingers,955,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
João Félix,Att Mid / Wingers,1540,2023-2024 La Liga
João Félix,Forwards,330,2024-2025 Conference League
João Félix,Forwards,425,2019-2020 Champions League
João Félix,Forwards,493,2018-2019 Europa League
João Félix,Forwards,568,2021-2022 Champions League
João Félix,Forwards,650,2022-2023 La Liga
João Félix,Forwards,705,2020-2021 Champions League
João Félix,Forwards,1263,2021-2022 La Liga
João Félix,Forwards,1572,2020-2021 La Liga
João Félix,Forwards,1725,2018-2019 Primeira Liga
João Félix,Forwards,1745,2019-2020 La Liga
João Pedro,Att Mid / Wingers,2016,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
João Pedro,Att Mid / Wingers,2045,2023-2024 Premier League
João Pedro,Att Mid / Wingers,2787,2022-2023 Championship
João Pedro,Forwards,435,2023-2024 Europa League
João Pedro,Forwards,1116,2024-2025 Premier League
João Pedro,Forwards,1644,2021-2022 Premier League
João Pedro,Forwards,1694,2019 Série A
João Pedro,Forwards,2747,2020-2021 Championship
Julio Enciso,Att Mid / Wingers,251,2024 Copa América
Julio Enciso,Att Mid / Wingers,475,2023-2024 Premier League
Julio Enciso,Att Mid / Wingers,796,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Julio Enciso,Att Mid / Wingers,806,2022-2023 Premier League
Justin Kluivert,Att Mid / Wingers,319,2018-2019 Champions League
Justin Kluivert,Att Mid / Wingers,542,2019-2020 Europa League
Justin Kluivert,Att Mid / Wingers,813,2020-2021 Bundesliga
Justin Kluivert,Att Mid / Wingers,1264,2024-2025 Premier League
Justin Kluivert,Att Mid / Wingers,1341,2018-2019 Serie A
Justin Kluivert,Att Mid / Wingers,1447,2022-2023 La Liga
Justin Kluivert,Att Mid / Wingers,1514,2019-2020 Serie A
Justin Kluivert,Att Mid / Wingers,1916,2023-2024 Premier League
Justin Kluivert,Att Mid / Wingers,2372,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Jørgen Strand Larsen,Forwards,1705,2022-2023 La Liga
Jørgen Strand Larsen,Forwards,1712,2024-2025 Premier League
Jørgen Strand Larsen,Forwards,2301,2020-2021 Eredivisie
Jørgen Strand Larsen,Forwards,2339,2021-2022 Eredivisie
Jørgen Strand Larsen,Forwards,2863,2023-2024 La Liga
Jørgen Strand Larsen,Forwards,2988,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Kai Havertz,Att Mid / Wingers,301,2021 UEFA Euro 2020
Kai Havertz,Att Mid / Wingers,432,2019-2020 Champions League
Kai Havertz,Att Mid / Wingers,450,2019-2020 Europa League
Kai Havertz,Att Mid / Wingers,785,2020-2021 Champions League
Kai Havertz,Att Mid / Wingers,1520,2020-2021 Premier League
Kai Havertz,Att Mid / Wingers,2143,2017-2018 Bundesliga
Kai Havertz,Att Mid / Wingers,2454,2019-2020 Bundesliga
Kai Havertz,Att Mid / Wingers,2894,2018-2019 Bundesliga
Kai Havertz,Forwards,389,2024 UEFA Euro 2024
Kai Havertz,Forwards,467,2024-2025 Champions League
Kai Havertz,Forwards,619,2022-2023 Champions League
Kai Havertz,Forwards,674,2021-2022 Champions League
Kai Havertz,Forwards,1570,2024-2025 Premier League
Kai Havertz,Forwards,1809,2021-2022 Premier League
Kai Havertz,Forwards,2569,2022-2023 Premier League
Kai Havertz,Forwards,3883,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Kamaldeen Sulemana,Att Mid / Wingers,185,2022-2023 Europa League
Kamaldeen Sulemana,Att Mid / Wingers,950,2023-2024 Championship
Kamaldeen Sulemana,Forwards,966,2022-2023 Premier League
Kaoru Mitoma,Att Mid / Wingers,513,2023-2024 Europa League
Kaoru Mitoma,Att Mid / Wingers,1486,2023-2024 Premier League
Kaoru Mitoma,Att Mid / Wingers,1665,2024-2025 Premier League
Kaoru Mitoma,Att Mid / Wingers,1830,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Kaoru Mitoma,Att Mid / Wingers,2318,2022-2023 Premier League
Kasey McAteer,Att Mid / Wingers,451,Last 365 Days Men's Next 14 Competitions
Kasey McAteer,Att Mid / Wingers,1158,2023-2024 Championship
Keane Lewis-Potter,Att Mid / Wingers,507,2019-2020 Championship
Keane Lewis-Potter,Att Mid / Wingers,4139,2021-2022 Championship
Kevin De Bruyne,Att Mid / Wingers,270,2022 World Cup
Kevin De Bruyne,Att Mid / Wingers,271,2021 UEFA Euro 2020
Kevin De Bruyne,Att Mid / Wingers,360,2024 UEFA Euro 2024
Kevin De Bruyne,Forwards,665,2020-2021 Champions League
Kevin Schade,Att Mid / Wingers,732,2022-2023 Premier League
Kevin Schade,Att Mid / Wingers,967,2024-2025 Premier League
Kevin Schade,Att Mid / Wingers,1043,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Kieran Trippier,Att Mid / Wingers,579,2018 World Cup
Leandro Trossard,Att Mid / Wingers,525,2018-2019 Europa League
Leandro Trossard,Att Mid / Wingers,531,2023-2024 Champions League
Leandro Trossard,Att Mid / Wingers,1186,2024-2025 Premier League
Leandro Trossard,Att Mid / Wingers,1258,2017-2018 Belgian First Division A
Leandro Trossard,Att Mid / Wingers,1649,2023-2024 Premier League
Leandro Trossard,Att Mid / Wingers,2011,2019-2020 Premier League
Leandro Trossard,Att Mid / Wingers,2246,2022-2023 Premier League
Leandro Trossard,Att Mid / Wingers,2607,2020-2021 Premier League
Leandro Trossard,Att Mid / Wingers,2716,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Leandro Trossard,Att Mid / Wingers,2781,2018-2019 Belgian First Division A
Leandro Trossard,Forwards,322,2024-2025 Champions League
Leandro Trossard,Forwards,2805,2021-2022 Premier League
Leon Bailey,Att Mid / Wingers,272,2024-2025 Champions League
Leon Bailey,Att Mid / Wingers,536,2018-2019 Europa League
Leon Bailey,Att Mid / Wingers,761,2021-2022 Premier League
Leon Bailey,Att Mid / Wingers,919,2024-2025 Premier League
Leon Bailey,Att Mid / Wingers,1090,2019-2020 Bundesliga
Leon Bailey,Att Mid / Wingers,1914,2018-2019 Bundesliga
Leon Bailey,Att Mid / Wingers,1967,2022-2023 Premier League
Leon Bailey,Att Mid / Wingers,2141,2020-2021 Bundesliga
Leon Bailey,Att Mid / Wingers,2216,2017-2018 Bundesliga
Leon Bailey,Att Mid / Wingers,2332,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Leon Bailey,Forwards,508,2020-2021 Europa League
Liam Delap,Forwards,1524,2024-2025 Premier League
Liam Delap,Forwards,1524,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Liam Delap,Forwards,1878,2022-2023 Championship
Liam Delap,Forwards,2206,2023-2024 Championship
Lucas Paquetá,Att Mid / Wingers,293,2024 Copa América
Lucas Paquetá,Att Mid / Wingers,354,2021 Copa América
Lucas Paquetá,Att Mid / Wingers,617,2022-2023 Europa Conference League
Lucas Paquetá,Att Mid / Wingers,698,2023-2024 Europa League
